time,number,weekday,isRest,severity,priority,severity_num,priority_num,category,number,category,interval,,,
2008/1/27,131,1,1,3.79389313,0.419847328,7,13,2,,,,,,
2008/1/28,183,2,0,3.863387978,0.480874317,10,21,3,,,,,,
2008/1/29,269,3,0,3.959107807,0.724907063,22,47,3,,,,,,
2008/1/30,225,4,0,3.946666667,0.68,17,34,3,,,,,,
2008/1/31,171,5,0,4.087719298,0.526315789,14,22,3,,,,,,
2008/2/1,109,6,0,4.036697248,0.577981651,9,14,1,,,,,,
2008/2/2,80,7,1,4.125,0.35,11,7,1,,,,,,
2008/2/3,102,1,1,3.941176471,0.647058824,10,15,1,,,,,,
2008/2/4,202,2,0,3.772277228,0.232673267,11,10,3,,,,,,
2008/2/5,136,3,0,4.014705882,0.470588235,11,15,2,,,,,,
2008/2/6,202,4,0,4.034653465,0.445544554,15,22,3,,,,,,
2008/2/7,207,5,0,4.115942029,0.502415459,20,24,3,,,,,,
2008/2/8,196,6,0,4.045918367,0.474489796,13,23,3,,,,,,
2008/2/9,121,7,1,3.834710744,0.462809917,8,12,2,,,,,,
2008/2/10,140,1,1,3.9,0.385714286,11,13,2,,,,,,
2008/2/11,168,2,0,3.857142857,0.416666667,15,16,2,,,,,,
2008/2/12,207,3,0,3.850241546,0.676328502,12,34,3,,,,,,
2008/2/13,251,4,0,3.888446215,0.342629482,23,20,3,,,,,,
2008/2/14,237,5,0,4.063291139,0.459915612,28,26,3,,,,,,
2008/2/15,196,6,0,3.923469388,0.43877551,15,21,3,,,,,,
2008/2/16,155,7,1,3.903225806,0.348387097,12,13,2,,,,,,
2008/2/17,141,1,1,3.914893617,0.333333333,14,12,2,,,,,,
2008/2/18,170,2,0,3.688235294,0.276470588,10,12,3,,,,,,
2008/2/19,197,3,0,3.908629442,0.725888325,15,35,3,,,,,,
2008/2/20,213,4,0,4.009389671,0.366197183,28,18,3,,,,,,
2008/2/21,186,5,0,3.88172043,0.403225806,11,18,3,,,,,,
2008/2/22,160,6,0,3.9125,0.44375,10,16,2,,,,,,
2008/2/23,97,7,1,3.907216495,0.432989691,9,10,1,,,,,,
2008/2/24,149,1,1,3.88590604,0.395973154,10,14,2,,,,,,
2008/2/25,170,2,0,3.735294118,0.452941176,7,19,3,,,,,,
2008/2/26,203,3,0,4.103448276,0.980295567,20,49,3,,,,,,
2008/2/27,225,4,0,3.933333333,0.662222222,20,38,3,,,,,,
2008/2/28,200,5,0,3.75,0.6,13,28,3,,,,,,
2008/2/29,175,6,0,3.828571429,0.605714286,9,25,3,,,,,,
2008/3/1,114,7,1,3.964912281,0.596491228,14,15,1,,,,,,
2008/3/2,125,1,1,3.792,0.344,10,11,2,,,,,,
2008/3/3,148,2,0,3.972972973,0.385135135,17,13,2,,,,,,
2008/3/4,189,3,0,3.857142857,0.402116402,9,18,3,,,,,,
2008/3/5,204,4,0,3.901960784,0.460784314,12,22,3,,,,,,
2008/3/6,202,5,0,3.628712871,0.321782178,9,15,3,,,,,,
2008/3/7,192,6,0,4.09375,0.510416667,21,23,3,,,,,,
